,Venue_Distance,Category_ID,Category_Name,Venue_Rating
222,502,4bf58dd8d48988d124951735,Automotive Shop,Not Rated
223,539,4bf58dd8d48988d1e8941735,Baseball Field,Not Rated
224,542,4cce455aebf7b749d5e191f5,Soccer Field,Not Rated
225,548,4bf58dd8d48988d176941735,Gym,Not Rated
226,550,4bf58dd8d48988d1d4941735,Speakeasy,Not Rated
227,564,4bf58dd8d48988d1fd941735,Shopping Mall,6.5
228,1,4bf58dd8d48988d117951735,Candy Store,6.3
229,2,4bf58dd8d48988d10e941735,Greek Restaurant,5.4
230,2,4bf58dd8d48988d181941735,Museum,6.1
231,3,4bf58dd8d48988d1e1931735,Arcade,Not Rated
232,4,4bf58dd8d48988d171941735,Event Space,7.2
233,4,4bf58dd8d48988d16f941735,Hot Dog Joint,Not Rated
234,5,4bf58dd8d48988d1c1941735,Mexican Restaurant,6.2
235,5,4bf58dd8d48988d179941735,Bagel Shop,7.0
236,7,4bf58dd8d48988d1ca941735,Pizza Place,8.4
237,7,4bf58dd8d48988d14e941735,American Restaurant,6.9
238,7,4bf58dd8d48988d137941735,Theater,7.4
239,8,4bf58dd8d48988d1d0941735,Dessert Shop,Not Rated
240,9,4bf58dd8d48988d120951735,Food Court,Not Rated
241,16,4bf58dd8d48988d1d0941735,Dessert Shop,7.5
242,17,52e81612bcbc57f1066b7a05,English Restaurant,5.9
243,21,4bf58dd8d48988d1c7941735,Snack Place,5.7
244,25,4bf58dd8d48988d1e0931735,Coffee Shop,6.5
245,26,4bf58dd8d48988d1df931735,BBQ Joint,7.2
246,89,4bf58dd8d48988d18f941735,Art Museum,9.3
247,131,4bf58dd8d48988d132941735,Church,Not Rated
248,201,4bf58dd8d48988d163941735,Park,Not Rated
249,305,4d954af4a243a5684765b473,Veterinarian,Not Rated
250,313,4e39a956bd410d7aed40cbc3,Tennis Court,Not Rated
251,347,4d954af4a243a5684765b473,Veterinarian,Not Rated
252,387,4bf58dd8d48988d167941735,Skate Park,Not Rated
253,413,4bf58dd8d48988d1e7941735,Playground,7.6
254,473,52e81612bcbc57f1066b7a35,Club House,Not Rated
255,492,4bf58dd8d48988d10f941735,Indian Restaurant,Not Rated
256,496,4bf58dd8d48988d130941735,Building,Not Rated
257,506,4bf58dd8d48988d163941735,Park,Not Rated
258,531,4bf58dd8d48988d145941735,Chinese Restaurant,Not Rated
259,582,4d954af4a243a5684765b473,Veterinarian,Not Rated
260,625,4bf58dd8d48988d132941735,Church,Not Rated
261,672,4bf58dd8d48988d113951735,Gas Station,6.3
262,698,52c71aaf3cf9994f4e043d17,Marijuana Dispensary,Not Rated
263,735,4bf58dd8d48988d163941735,Park,Not Rated
264,756,4bf58dd8d48988d126951735,Video Store,6.6
265,832,4bf58dd8d48988d163941735,Park,8.3
266,1892,4bf58dd8d48988d1e0931735,Coffee Shop,7.6
267,26,4bf58dd8d48988d124941735,Office,Not Rated
268,40,4bf58dd8d48988d164941735,Plaza,Not Rated
269,49,4bf58dd8d48988d163941735,Park,6.1
270,51,4bf58dd8d48988d124941735,Office,Not Rated
271,54,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
272,68,4bf58dd8d48988d1fe931735,Bus Station,Not Rated
273,68,4bf58dd8d48988d12b941735,Courthouse,Not Rated
274,83,4bf58dd8d48988d1e2931735,Art Gallery,Not Rated
275,84,4bf58dd8d48988d1fc931735,Light Rail Station,Not Rated
276,89,52f2ab2ebcbc57f1066b8b4f,Bus Stop,Not Rated
277,95,4bf58dd8d48988d130941735,Building,8.4
278,96,4bf58dd8d48988d165941735,Scenic Lookout,7.7
279,98,4bf58dd8d48988d11e941735,Cocktail Bar,8.4
280,101,4c38df4de52ce0d596b336e1,Parking,Not Rated
281,103,4bf58dd8d48988d1e5931735,Music Venue,Not Rated
282,123,4bf58dd8d48988d12b941735,Courthouse,Not Rated
283,136,4bf58dd8d48988d1c5941735,Sandwich Place,9.0
284,398,4bf58dd8d48988d125941735,Tech Startup,Not Rated
285,590,4bf58dd8d48988d126951735,Video Store,Not Rated
