Borough,Borough_Lat,Borough_Lng,Neighborhood,Hood_Lat,Hood_Lng
Brooklyn,40.6501038,-73.9495823,Starrett City,40.64758905230874,-73.87936970045875
Brooklyn,40.6501038,-73.9495823,Canarsie,40.63556432797428,-73.90209269778966
Brooklyn,40.6501038,-73.9495823,Flatlands,40.630446043757466,-73.92911302644674
Brooklyn,40.6501038,-73.9495823,Mill Island,40.606336421685626,-73.90818571777423
Brooklyn,40.6501038,-73.9495823,Manhattan Beach,40.57791350308657,-73.94353722891886
Brooklyn,40.6501038,-73.9495823,Coney Island,40.57429256471601,-73.98868295821637
Brooklyn,40.6501038,-73.9495823,Bath Beach,40.59951870282238,-73.99875221443519
Brooklyn,40.6501038,-73.9495823,Borough Park,40.633130512758015,-73.99049823044811
Brooklyn,40.6501038,-73.9495823,Dyker Heights,40.619219457722636,-74.01931375636022
Brooklyn,40.6501038,-73.9495823,Gerritsen Beach,40.590848433902046,-73.93010170691196
Brooklyn,40.6501038,-73.9495823,Marine Park,40.609747779894604,-73.93134404108497
Brooklyn,40.6501038,-73.9495823,Clinton Hill,40.693229421881504,-73.96784306216367
Brooklyn,40.6501038,-73.9495823,Sea Gate,40.57637537890224,-74.0078731120024
Brooklyn,40.6501038,-73.9495823,Downtown,40.69084402109802,-73.98346337431099
Brooklyn,40.6501038,-73.9495823,Boerum Hill,40.685682912091444,-73.98374824115798
Brooklyn,40.6501038,-73.9495823,Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713
Brooklyn,40.6501038,-73.9495823,Ocean Hill,40.678402554795355,-73.91306831787395
Brooklyn,40.6501038,-73.9495823,City Line,40.67856995727479,-73.86797598081334
Brooklyn,40.6501038,-73.9495823,Bergen Beach,40.61514955045308,-73.89855633630317
Brooklyn,40.6501038,-73.9495823,Midwood,40.62559589869843,-73.95759523489838
Brooklyn,40.6501038,-73.9495823,Prospect Park South,40.647008603185185,-73.96261316716048
Brooklyn,40.6501038,-73.9495823,Georgetown,40.62384524478419,-73.91607483951324
Brooklyn,40.6501038,-73.9495823,East Williamsburg,40.70849241041548,-73.93885815269195
Brooklyn,40.6501038,-73.9495823,North Side,40.714822906532014,-73.95880857587582
Brooklyn,40.6501038,-73.9495823,South Side,40.71086147265064,-73.95800095153331
Brooklyn,40.6501038,-73.9495823,Ocean Parkway,40.61305976667942,-73.96836678035541
Brooklyn,40.6501038,-73.9495823,Fort Hamilton,40.61476812694226,-74.03197914537984
Manhattan,40.7896239,-73.9598939,Chinatown,40.71561842231432,-73.99427936255978
Manhattan,40.7896239,-73.9598939,Washington Heights,40.85190252555305,-73.93690027985234
Manhattan,40.7896239,-73.9598939,Inwood,40.86768396449915,-73.92121042203897
Manhattan,40.7896239,-73.9598939,Hamilton Heights,40.823604284811935,-73.94968791883366
Manhattan,40.7896239,-73.9598939,Manhattanville,40.8169344294978,-73.9573853935188
Manhattan,40.7896239,-73.9598939,Central Harlem,40.81597606742414,-73.94321112603905
Manhattan,40.7896239,-73.9598939,East Harlem,40.79224946663033,-73.94418223148524
Manhattan,40.7896239,-73.9598939,Upper East Side,40.775638573301805,-73.96050763135
Manhattan,40.7896239,-73.9598939,Yorkville,40.775929849884875,-73.94711784471826
Manhattan,40.7896239,-73.9598939,Lenox Hill,40.76811265828733,-73.9588596881376
Manhattan,40.7896239,-73.9598939,Roosevelt Island,40.76215960576283,-73.94916769227953
Manhattan,40.7896239,-73.9598939,Upper West Side,40.787657998534854,-73.97705923630603
Manhattan,40.7896239,-73.9598939,Lincoln Square,40.77352888942166,-73.98533777001262
Manhattan,40.7896239,-73.9598939,Clinton,40.75910089146212,-73.99611936309479
Manhattan,40.7896239,-73.9598939,Midtown,40.75469110270623,-73.98166882730304
Manhattan,40.7896239,-73.9598939,Murray Hill,40.748303077252174,-73.97833207924127
Manhattan,40.7896239,-73.9598939,Chelsea,40.744034706747975,-74.00311633472813
Manhattan,40.7896239,-73.9598939,Greenwich Village,40.72693288536128,-73.99991402945902
Manhattan,40.7896239,-73.9598939,East Village,40.727846777270244,-73.98222616506416
Manhattan,40.7896239,-73.9598939,Lower East Side,40.71780674892765,-73.98089031999291
Manhattan,40.7896239,-73.9598939,Tribeca,40.721521967443216,-74.01068328559087
Manhattan,40.7896239,-73.9598939,Little Italy,40.71932379395907,-73.99730467208073
Manhattan,40.7896239,-73.9598939,Soho,40.72218384131794,-74.00065666959759
Manhattan,40.7896239,-73.9598939,West Village,40.73443393572434,-74.00617998126812
Manhattan,40.7896239,-73.9598939,Manhattan Valley,40.797307041702865,-73.96428617740655
Manhattan,40.7896239,-73.9598939,Morningside Heights,40.807999738165826,-73.96389627905332
Manhattan,40.7896239,-73.9598939,Gramercy,40.737209832715,-73.98137594833541
Manhattan,40.7896239,-73.9598939,Battery Park City,40.71193198394565,-74.01686930508617
Manhattan,40.7896239,-73.9598939,Financial District,40.70710710727048,-74.0106654452127
Queens,40.7498243,-73.7976337,Astoria,40.76850859335492,-73.91565374304234
Queens,40.7498243,-73.7976337,Woodside,40.74634908860222,-73.90184166838284
Queens,40.7498243,-73.7976337,Jackson Heights,40.75198138007367,-73.88282109164365
Queens,40.7498243,-73.7976337,Elmhurst,40.744048505122024,-73.88165622288388
Queens,40.7498243,-73.7976337,Howard Beach,40.65422527738487,-73.8381376460028
Queens,40.7498243,-73.7976337,Corona,40.74238175015667,-73.85682497345258
