,City,Arcade,Venue_ID,Venue_Name,Venue_Address
171,"Atlanta, GA",Arcade Pizza,4dea8dd3ae60e989235c5f44,Calle 191 Pescaderia,1609 Saint Nicholas Ave
172,"Atlanta, GA",Arcade Pizza,4cd9fed5071ba093c21bb605,MTA - 192nd And St Nicholas Av (M101) (M3),192nd And St Nicholas Av
173,"Atlanta, GA",Arcade Pizza,4e2b428c14955dbf7ad8f006,Deli Grocery & Convenience Store - 191 Subway,St. Nicholas Ave
174,"Atlanta, GA",Arcade Pizza,5990842bda70802cfa0c448c,Up Heights,1604 St Nicholas Avenue
175,"Atlanta, GA",Arcade Pizza,563be883cd103c7d6583a913,Subway Games,1610 Saint Nicholas Ave
176,"Atlanta, GA",Arcade Pizza,4dbb05706a23e294ba0a269e,El Mundo Laundromat,1612 Saint Nicholas Ave
177,"Atlanta, GA",Arcade Pizza,4d8ca549ca75b60cc859d6a8,Food Corp Deli Grocery,1613 Saint Nicholas Ave
178,"Atlanta, GA",Arcade Pizza,5add1292cf72a0223ac538ee,Dominican Valle,No Address
179,"Atlanta, GA",Arcade Pizza,4cdde8d6c4f6a35ddc89c66c,Supernanny,No Address
180,"Atlanta, GA",Arcade Pizza,5da72567dfe544000842f992,Miss Rizos Salon,1604 Saint Nicholas Ave
181,"Atlanta, GA",Arcade Pizza,4fa6ae9fe4b0419376d7e898,Kukara Macara,1601 Saint Nicholas Ave
182,"Atlanta, GA",Arcade Pizza,4c828ea4dc018cfaf57cd06c,Fine Fare,191st Street
183,"Atlanta, GA",Arcade Pizza,4ebc6ff8f5b9e505b79e454c,Corner Of 190 & St Nicholas,No Address
184,"Atlanta, GA",Arcade Pizza,4c6e729c4d24b60c1c9bd8d8,Dunkin',1599 Saint Nicholas Ave
185,"Atlanta, GA",Arcade Pizza,4c83cbdc74d7b60c07c78cd8,Jay's Wines & Liquor,1621 Saint Nicholas Ave
186,"Atlanta, GA",Arcade Pizza,4f11e320e4b0865b08176d55,Rosa Beauty Supply,1603 Saint Nicholas Ave
187,"Atlanta, GA",Arcade Pizza,4af22c7cf964a52058e621e3,El Nuevo Caridad,1618 Saint Nicholas Ave
188,"Atlanta, GA",Arcade Pizza,4b0cb04df964a520054123e3,MTA Subway - 191st St (1),Broadway
189,"Atlanta, GA",Arcade Restaurant,5f2b4345952995556e819871,All Night Skate,54 Rockaway Ave
190,"Atlanta, GA",Arcade Restaurant,4e0cc617a809a0a62eb3eef2,Arthur's Place,47 Rockaway Ave
191,"Atlanta, GA",Arcade Restaurant,5f160d8cf60203328d8c1686,Love Nelly,53 Rockaway Ave
192,"Atlanta, GA",Arcade Restaurant,51a9f459498eeebb9b0673d8,Regal Laundry,55 Rockaway Ave
193,"Atlanta, GA",Arcade Restaurant,5017e784e4b0687bcdd2b106,Frank's Barber Shop,38 Rockaway Ave
194,"Atlanta, GA",Arcade Restaurant,562b8f8f498e522c2738b01d,brooklyn landmark elementary school,251 Macdougal St
195,"Atlanta, GA",Arcade Restaurant,4f86030fe4b04a6ada86479f,FDNY Engine 233/Ladder 176,25 Rockaway Ave
196,"Atlanta, GA",Arcade Restaurant,51702e65e4b0ea41cfabe62a,P.S./I.S. 73,251 Macdougal St
197,"Atlanta, GA",Arcade Restaurant,4e0df55f45ddc2c6d172a6c4,Emely's Beauty Salon,96 Rockaway Ave
198,"Atlanta, GA",Arcade Restaurant,4ee949a261aff2afcd6a6287,Marion Park,No Address
199,"Atlanta, GA",Arcade Restaurant,4ed414a399114b488c5084ff,Urban strategies,294 Sumpter St
200,"Atlanta, GA",Arcade Restaurant,4f32545019836c91c7cd08de,Jason Liquor Store,18 Rockaway Ave
201,"Atlanta, GA",Arcade Restaurant,4dbb4e1a0cb691071c87429a,Mount  Zion Holiness Church,1792 Broadway
202,"Atlanta, GA",Arcade Restaurant,4e7251c17d8b53db1c2d60ce,PS73,No Address
203,"Atlanta, GA",Arcade Restaurant,611d58eebb53437e73400635,PMR of NY- Bushwick,1765 Broadway
204,"Atlanta, GA",Arcade Restaurant,4bbe4ee09474c9b69d6ad9b6,MTA Subway - Chauncey St (J/Z),Chauncey St.
205,"Atlanta, GA",Arcade Restaurant,5c60a5a3250cab002c76e256,Urban Natural Valley Market,1725 Broadway
206,"Atlanta, GA",Arcade Restaurant,5baae62489b06a0039250273,Pita Point,508 Marion Street
207,"Atlanta, GA",Arcade Restaurant,611c57ccb0dcfd3277165bd2,Hardee,126 Hull St
208,"Atlanta, GA",Arcade Restaurant,4c4b517a959220a1a94f650f,Fish N Chicks LLC,57 Somers St
209,"Atlanta, GA",Arcade Roofing & Home Improvement,4f0f4815e4b040d483a80d02,Pandoras Box,Nowhere
210,"Atlanta, GA",Arcade Roofing & Home Improvement,4cd19ea76200b1f733efda28,Dr. Harrison's Office,21st Ave
211,"Atlanta, GA",Arcade Roofing & Home Improvement,5113cdaee4b036fd3cfcbfb4,"Bay Ridge, Bklyn",No Address
212,"Atlanta, GA",Arcade Roofing & Home Improvement,55eb86ed498ed2c16d4b6a7c,Double Fire Gourmet Inc.,2122 86th St
213,"Atlanta, GA",Arcade Roofing & Home Improvement,60021a5021b54e5cbb136c32,OC Dessert,2120 86th St
214,"Atlanta, GA",Arcade Roofing & Home Improvement,4d991e93af3d236a43f24cc7,Happy Seafood Restaurant,2146 86th St
215,"Atlanta, GA",Arcade Roofing & Home Improvement,5f55b71a23de1e42573a4663,Tiger Sugar,2132 86th St
216,"Atlanta, GA",Arcade Roofing & Home Improvement,4b102c53f964a520926a23e3,Burger King,2164 86th St
217,"Atlanta, GA",Arcade Roofing & Home Improvement,60b111ec091ee303c750fb1c,Bank Of America,No Address
218,"Atlanta, GA",Arcade Roofing & Home Improvement,4fb81f5ae4b0c241c411cc83,Kung Fu Tea,2174 86th St
219,"Atlanta, GA",Arcade Roofing & Home Improvement,60df6c2984d4c328f420d009,Chipotle Mexican Grill,2076 86th St
220,"Atlanta, GA",Arcade Roofing & Home Improvement,58682ca9da54ae618fc707d7,Vivi Bubble Tea,2169 86th St
221,"Atlanta, GA",Arcade Roofing & Home Improvement,4c091c77a1b32d7fa50c97f0,La Bella Pizza Express,2178 86th St
222,"Atlanta, GA",Arcade Roofing & Home Improvement,4e35630ffa7656ba316ff038,MTA - B6/B82/X28/X38 Bus (Cropsey Ave & Bay Parkway),No Address
223,"Atlanta, GA",Arcade Roofing & Home Improvement,5fde52622cddeb37060a2470,Superior Wonton Noodles,2145 86th St
224,"Atlanta, GA",Arcade Roofing & Home Improvement,603e6fe2bf05d857920d6da2,Teso Life,2158 86th Street
225,"Atlanta, GA",Arcade Roofing & Home Improvement,4bdc528dfed22d7fcea057c9,MTA Subway - Bay Parkway (D),86th St
226,"Atlanta, GA",Arcade Roofing & Home Improvement,593deb59f79faa76f4f8eed7,86th Grocery & Snacks,86th Street
227,"Atlanta, GA",Arcade Roofing & Home Improvement,4bc865df6501c9b6d3fe3f29,MTA Bus - Bay Parkway & 86th Street (B6/B6LTD/B82/B82LTD),Bay Pkwy
228,"Atlanta, GA",Arcade Roofing & Home Improvement,4ba8f79df964a520bdfe39e3,Dunkin',1980 86th St
229,"Atlanta, GA",At the arcade,4f3291c319836c91c7e49d19,Mitchell Fish and Chips,617 Vanderbilt Ave
230,"Atlanta, GA",At the arcade,4dc16497d16455f8322791bb,Ample Hills Creamery,623 Vanderbilt Ave
231,"Atlanta, GA",At the arcade,4b17c40df964a520f5c723e3,Peñas Food Market,598 Vanderbilt
232,"Atlanta, GA",At the arcade,4a55d316f964a52048b41fe3,Zaytoon's,594 Vanderbilt Ave
233,"Atlanta, GA",At the arcade,4aeb7bd4f964a5208cc221e3,Mitchell's Soul Food,617 Vanderbilt Ave
234,"Atlanta, GA",At the arcade,4c1e56ee8b3aa59300e89b5f,Luria Academy,238 Saint Marks Ave
