Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
Lincoln Square,4bdb71243904a593177b4a9e,5th Avenue,1686,5th Ave,40.76010908156207,-73.97604949772358,4bf58dd8d48988d1f9931735,Road
Lincoln Square,530909a5498ee579339efdab,Dan Cataldo - Mortgage Loan Officer,1294,1633 Broadway,40.7619247,-73.9842908,503287a291d4c4b30a586d65,Financial or Legal Service
Lincoln Square,3fd66200f964a5200ae91ee3,Frames Bowling Lounge,1929,550 9th Ave,40.75718734842475,-73.9929652419508,4bf58dd8d48988d1e4931735,Bowling Alley
Clinton,584c6864e612f21c7cba3261,Arcade,1100,151 W 34th St,40.750725,-73.98918,4bf58dd8d48988d128951735,Gift Shop
Clinton,4a326ac3f964a520499a1fe3,Kaufman Arcade,1061,139 W 35th Street,40.751193348681895,-73.98908288943252,4bf58dd8d48988d130941735,Building
Clinton,4c6e835fe6b7b1f77db2ac8e,Arcade Coffee,1376,27 W 47th St,40.757669,-73.979899,4bf58dd8d48988d1e0931735,Coffee Shop
Clinton,4dc2a46b7d8b686fa4810d99,Greeley Arcade Building,1400,132 W 31st St,40.74747542879388,-73.98977082005317,4bf58dd8d48988d124941735,Office
Clinton,52a1279c498eaa00e4dafd28,Garment Wear Arcade,625,306 W 37th St,40.754034999999995,-73.99290400000001,4eb1bea83b7b6f98df247e06,Factory
Clinton,4c24e4ffa852c92802e1e36c,Bricken arcade,783,225 W 37th St,40.753597259521484,-73.99031829833984,4bf58dd8d48988d104951735,Boutique
Clinton,4c75414f66be6dcbdcd3bf0f,Arcade Barber Shop,1272,25 W 43rd St,40.754924267375195,-73.98207406390863,4bf58dd8d48988d110951735,Salon / Barbershop
Clinton,54109be5498e36dd35fd2e90,arcade edit,1388,130 W 29th St,40.747175944623514,-73.99129295186755,4bf58dd8d48988d124941735,Office
Clinton,5553d902498eee430b990c01,Arcade Edit NY,1848,220 5th Ave Fl 12,40.743638415449865,-73.98813912063066,4bf58dd8d48988d124941735,Office
Clinton,5c9598aca795bd002cc9b843,New York Arcade Rentals,1059,121 W 36th St,40.751863,-73.987957,5454152e498ef71e2b9132c6,Event Service
Clinton,4de507e4ae60e7f3ac2c06ae,Arcade Creative Group (A Sony Music Company),1914,550 Madison Ave,40.76137985690867,-73.97361633212932,4bf58dd8d48988d124941735,Office
Clinton,4ddc962e1f6e54b34d8e1b1e,Sahil's Arcade Of Good Times,1138,No Address,40.74925091303696,-73.99248663896475,4bf58dd8d48988d1e7941735,Playground
Clinton,4dff6831091ab6fff999ee39,Arcade Classics,1774,244 5th Ave Ste B294,40.74463152634834,-73.98728728294373,4bf58dd8d48988d122951735,Electronics Store
Clinton,42869100f964a52019231fe3,Arcade America,1858,53 W 23rd St,40.742791,-73.991436,4bf58dd8d48988d103951735,Clothing Store
Clinton,51534258e4b0cc67a8fdcf2d,Plaza Arcade,1362,No Address,40.757389,-73.980119,4bf58dd8d48988d111951735,Jewelry Store
Clinton,42869100f964a52018231fe3,5th ave. arcade inc.,1842,260 5th Ave,40.74660214961863,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
Clinton,4e11e25e81dcc5457256919a,Graha Arcade,1913,53 W 23rd St,40.742379908504255,-73.99085998535155,4d954b06a243a5684965b473,Residential Building (Apartment / Condo)
Clinton,5b4e49dcea1e44002ce8dede,DIY Arcade,2014,No Address,40.74174586517669,-73.98936867713928,52e81612bcbc57f1066b7a37,Distribution Center
Clinton,3fd66200f964a5200ae91ee3,Frames Bowling Lounge,340,550 9th Ave,40.75718734842475,-73.9929652419508,4bf58dd8d48988d1e4931735,Bowling Alley
Clinton,4bdb71243904a593177b4a9e,5th Avenue,1695,5th Ave,40.76010908156207,-73.97604949772358,4bf58dd8d48988d1f9931735,Road
Clinton,530909a5498ee579339efdab,Dan Cataldo - Mortgage Loan Officer,1045,1633 Broadway,40.7619247,-73.9842908,503287a291d4c4b30a586d65,Financial or Legal Service
Midtown,4c6e835fe6b7b1f77db2ac8e,Arcade Coffee,363,27 W 47th St,40.757669,-73.979899,4bf58dd8d48988d1e0931735,Coffee Shop
Midtown,584c6864e612f21c7cba3261,Arcade,772,151 W 34th St,40.750725,-73.98918,4bf58dd8d48988d128951735,Gift Shop
Midtown,4a326ac3f964a520499a1fe3,Kaufman Arcade,736,139 W 35th Street,40.751193348681895,-73.98908288943252,4bf58dd8d48988d130941735,Building
Midtown,4dc2a46b7d8b686fa4810d99,Greeley Arcade Building,1054,132 W 31st St,40.74747542879388,-73.98977082005317,4bf58dd8d48988d124941735,Office
Midtown,4c75414f66be6dcbdcd3bf0f,Arcade Barber Shop,42,25 W 43rd St,40.754924267375195,-73.98207406390863,4bf58dd8d48988d110951735,Salon / Barbershop
Midtown,51534258e4b0cc67a8fdcf2d,Plaza Arcade,327,No Address,40.757389,-73.980119,4bf58dd8d48988d111951735,Jewelry Store
Midtown,42869100f964a52018231fe3,5th ave. arcade inc.,900,260 5th Ave,40.74660214961863,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
Midtown,4de507e4ae60e7f3ac2c06ae,Arcade Creative Group (A Sony Music Company),1007,550 Madison Ave,40.76137985690867,-73.97361633212932,4bf58dd8d48988d124941735,Office
Midtown,5c9598aca795bd002cc9b843,New York Arcade Rentals,616,121 W 36th St,40.751863,-73.987957,5454152e498ef71e2b9132c6,Event Service
Midtown,4c24e4ffa852c92802e1e36c,Bricken arcade,739,225 W 37th St,40.753597259521484,-73.99031829833984,4bf58dd8d48988d104951735,Boutique
Midtown,5553d902498eee430b990c01,Arcade Edit NY,1345,220 5th Ave Fl 12,40.743638415449865,-73.98813912063066,4bf58dd8d48988d124941735,Office
Midtown,54109be5498e36dd35fd2e90,arcade edit,1165,130 W 29th St,40.747175944623514,-73.99129295186755,4bf58dd8d48988d124941735,Office
Midtown,4dff6831091ab6fff999ee39,Arcade Classics,1215,244 5th Ave Ste B294,40.74463152634834,-73.98728728294373,4bf58dd8d48988d122951735,Electronics Store
Midtown,52a1279c498eaa00e4dafd28,Garment Wear Arcade,950,306 W 37th St,40.754034999999995,-73.99290400000001,4eb1bea83b7b6f98df247e06,Factory
Midtown,42869100f964a52019231fe3,Arcade America,1559,53 W 23rd St,40.742791,-73.991436,4bf58dd8d48988d103951735,Clothing Store
Midtown,4ddc962e1f6e54b34d8e1b1e,Sahil's Arcade Of Good Times,1094,No Address,40.74925091303696,-73.99248663896475,4bf58dd8d48988d1e7941735,Playground
Midtown,4e11e25e81dcc5457256919a,Graha Arcade,1574,53 W 23rd St,40.742379908504255,-73.99085998535155,4d954b06a243a5684965b473,Residential Building (Apartment / Condo)
Midtown,5b4e49dcea1e44002ce8dede,DIY Arcade,1580,No Address,40.74174586517669,-73.98936867713928,52e81612bcbc57f1066b7a37,Distribution Center
Midtown,4bdb71243904a593177b4a9e,5th Avenue,766,5th Ave,40.76010908156207,-73.97604949772358,4bf58dd8d48988d1f9931735,Road
Midtown,530909a5498ee579339efdab,Dan Cataldo - Mortgage Loan Officer,835,1633 Broadway,40.7619247,-73.9842908,503287a291d4c4b30a586d65,Financial or Legal Service
Midtown,3fd66200f964a5200ae91ee3,Frames Bowling Lounge,992,550 9th Ave,40.75718734842475,-73.9929652419508,4bf58dd8d48988d1e4931735,Bowling Alley
Murray Hill,584c6864e612f21c7cba3261,Arcade,953,151 W 34th St,40.750725,-73.98918,4bf58dd8d48988d128951735,Gift Shop
Murray Hill,4c6e835fe6b7b1f77db2ac8e,Arcade Coffee,1050,27 W 47th St,40.757669,-73.979899,4bf58dd8d48988d1e0931735,Coffee Shop
Murray Hill,4dc2a46b7d8b686fa4810d99,Greeley Arcade Building,969,132 W 31st St,40.74747542879388,-73.98977082005317,4bf58dd8d48988d124941735,Office
Murray Hill,4a326ac3f964a520499a1fe3,Kaufman Arcade,962,139 W 35th Street,40.751193348681895,-73.98908288943252,4bf58dd8d48988d130941735,Building
Murray Hill,42869100f964a52018231fe3,5th ave. arcade inc.,348,260 5th Ave,40.74660214961863,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
Murray Hill,5553d902498eee430b990c01,Arcade Edit NY,976,220 5th Ave Fl 12,40.743638415449865,-73.98813912063066,4bf58dd8d48988d124941735,Office
Murray Hill,4c75414f66be6dcbdcd3bf0f,Arcade Barber Shop,801,25 W 43rd St,40.754924267375195,-73.98207406390863,4bf58dd8d48988d110951735,Salon / Barbershop
